85.30,-0.050193
85.25,-0.044227
88.45,-0.046867
83.40,-0.046705
87.90,-0.050859
85.50,-0.048094
88.90,-0.049906
88.30,-0.049293
88.70,-0.049885
88.45,-0.051054
88.75,-0.052705
88.25,-0.050383
87.30,-0.047866
88.00,-0.046594
88.70,-0.04247
85.50,-0.048503
88.65,-0.052011
88.75,-0.055093
85.40,-0.055002
88.60,-0.053971
87.00,-0.056393
87.15,-0.041806
87.05,-0.056295
87.25,-0.056614
86.85,-0.056634
88.65,-0.053835
86.60,-0.054568
86.00,-0.056343
86.10,-0.055746
86.50,-0.056285
86.30,-0.055856
84.40,-0.054979
84.70,-0.056744
84.60,-0.055116
84.50,-0.055431
88.10,-0.054786
85.25,-0.052696
88.40,-0.051488
88.20,-0.050822
88.40,-0.053711
88.55,-0.052652
88.35,-0.050152
88.20,-0.045382
85.30,-0.050142
88.50,-0.055431
88.25,-0.062839
88.00,-0.060146
88.85,-0.059905
88.45,-0.060446
88.70,-0.060961
